well_id,province,district,depth_m,well_yield_m3_day,quality,lat,lng,source,year
DGR-0033,ยโสธร,อำเภอตัวอย่าง2,63,17.0,ควรตรวจซ้ำ,15.9017,104.1169,DGR-sample,2567
DGR-0034,ยโสธร,อำเภอตัวอย่าง3,41,39.9,ดี,15.8539,104.1097,DGR-sample,2567
DGR-0035,ร้อยเอ็ด,อำเภอตัวอย่าง1,70,31.5,ดี,16.1699,103.6354,DGR-sample,2567
DGR-0036,ร้อยเอ็ด,อำเภอตัวอย่าง2,43,18.7,ปานกลาง,15.9063,103.6662,DGR-sample,2567
DGR-0037,ร้อยเอ็ด,อำเภอตัวอย่าง3,65,18.6,ดี,16.1124,103.5177,DGR-sample,2567
DGR-0038,เลย,อำเภอตัวอย่าง1,32,39.2,ปานกลาง,17.3613,101.6414,DGR-sample,2567
DGR-0039,เลย,อำเภอตัวอย่าง2,70,26.6,ควรตรวจซ้ำ,17.3797,101.8507,DGR-sample,2567
DGR-0040,เลย,อำเภอตัวอย่าง3,64,29.3,ดี,17.5754,101.8122,DGR-sample,2567
DGR-0041,ศรีสะเกษ,อำเภอตัวอย่าง1,40,14.8,ดี,15.0763,104.2933,DGR-sample,2567
DGR-0042,ศรีสะเกษ,อำเภอตัวอย่าง2,83,33.9,ดี,14.9882,104.3885,DGR-sample,2567
DGR-0043,ศรีสะเกษ,อำเภอตัวอย่าง3,79,37.9,ดี,15.0275,104.3309,DGR-sample,2567
DGR-0044,สกลนคร,อำเภอตัวอย่าง1,36,24.7,ปานกลาง,17.1488,104.2623,DGR-sample,2567
DGR-0045,สกลนคร,อำเภอตัวอย่าง2,32,25.3,ควรตรวจซ้ำ,17.0394,104.1956,DGR-sample,2567
DGR-0046,สกลนคร,อำเภอตัวอย่าง3,62,37.1,ดี,17.2879,104.2546,DGR-sample,2567
DGR-0047,สุรินทร์,อำเภอตัวอย่าง1,38,24.2,ดี,14.7941,103.4603,DGR-sample,2567
DGR-0048,สุรินทร์,อำเภอตัวอย่าง2,31,16.9,ดี,15.0256,103.4196,DGR-sample,2567
DGR-0049,สุรินทร์,อำเภอตัวอย่าง3,78,35.6,ปานกลาง,14.8569,103.6272,DGR-sample,2567
DGR-0050,หนองคาย,อำเภอตัวอย่าง1,78,28.7,ดี,17.7764,102.679,DGR-sample,2567
DGR-0051,หนองคาย,อำเภอตัวอย่าง2,31,29.4,ควรตรวจซ้ำ,17.7483,102.6841,DGR-sample,2567
DGR-0052,หนองคาย,อำเภอตัวอย่าง3,31,29.5,ควรตรวจซ้ำ,18.0058,102.7493,DGR-sample,2567
DGR-0053,หนองบัวลำภู,อำเภอตัวอย่าง1,31,40.8,ดี,17.3054,102.3106,DGR-sample,2567
DGR-0054,หนองบัวลำภู,อำเภอตัวอย่าง2,32,32.3,ดี,17.1711,102.5725,DGR-sample,2567
DGR-0055,หนองบัวลำภู,อำเภอตัวอย่าง3,64,19.4,ควรตรวจซ้ำ,17.0619,102.3146,DGR-sample,2567
DGR-0056,อำนาจเจริญ,อำเภอตัวอย่าง1,70,29.5,ควรตรวจซ้ำ,15.8149,104.5582,DGR-sample,2567
DGR-0057,อำนาจเจริญ,อำเภอตัวอย่าง2,70,33.5,ดี,15.7997,104.5193,DGR-sample,2567
DGR-0058,อำนาจเจริญ,อำเภอตัวอย่าง3,69,21.0,ปานกลาง,15.9987,104.7607,DGR-sample,2567
DGR-0059,อุดรธานี,อำเภอตัวอย่าง1,28,25.7,ควรตรวจซ้ำ,17.5588,102.662,DGR-sample,2567
DGR-0060,อุดรธานี,อำเภอตัวอย่าง2,41,27.2,ดี,17.54,102.9043,DGR-sample,2567
DGR-0061,อุดรธานี,อำเภอตัวอย่าง3,84,19.3,ปานกลาง,17.3073,102.8901,DGR-sample,2567
DGR-0062,อุดรธานี,อำเภอตัวอย่าง4,73,21.1,ควรตรวจซ้ำ,17.2623,102.8851,DGR-sample,2567
DGR-0063,อุดรธานี,อำเภอตัวอย่าง5,47,40.0,ดี,17.5417,102.6803,DGR-sample,2567
DGR-0064,อุบลราชธานี,อำเภอตัวอย่าง1,35,38.7,ควรตรวจซ้ำ,15.1266,104.7945,DGR-sample,2567
DGR-0065,อุบลราชธานี,อำเภอตัวอย่าง2,41,33.5,ดี,15.2862,104.9659,DGR-sample,2567
DGR-0066,อุบลราชธานี,อำเภอตัวอย่าง3,60,26.7,ดี,15.1077,104.8371,DGR-sample,2567
DGR-0067,อุบลราชธานี,อำเภอตัวอย่าง4,45,13.3,ปานกลาง,15.3113,104.9011,DGR-sample,2567
DGR-0068,อุบลราชธานี,อำเภอตัวอย่าง5,44,16.8,ดี,15.2455,104.8383,DGR-sample,2567
