province,crop,yield_kg_rai,year,unit,source
ชัยภูมิ,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
นครพนม,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
นครพนม,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
นครพนม,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
นครราชสีมา,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
นครราชสีมา,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
นครราชสีมา,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
บึงกาฬ,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
บึงกาฬ,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
บึงกาฬ,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
บุรีรัมย์,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
บุรีรัมย์,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
บุรีรัมย์,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
มหาสารคาม,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
มหาสารคาม,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
มหาสารคาม,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
มุกดาหาร,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
มุกดาหาร,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
มุกดาหาร,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
ยโสธร,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
ยโสธร,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
ยโสธร,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
ร้อยเอ็ด,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
ร้อยเอ็ด,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
ร้อยเอ็ด,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
เลย,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
เลย,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
เลย,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
ศรีสะเกษ,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
ศรีสะเกษ,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
สกลนคร,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
สกลนคร,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
สกลนคร,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
สุรินทร์,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
สุรินทร์,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
สุรินทร์,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
หนองคาย,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
หนองคาย,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
หนองคาย,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
หนองบัวลำภู,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
หนองบัวลำภู,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
หนองบัวลำภู,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
อำนาจเจริญ,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
อำนาจเจริญ,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
อำนาจเจริญ,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
อุดรธานี,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
อุดรธานี,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
อุดรธานี,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
อุบลราชธานี,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
อุบลราชธานี,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
อุบลราชธานี,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
